C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-25,16:00:00,REGULAR,6027031,1349587,True,5,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-25,20:00:00,REGULAR,6027230,1349619,True,5,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,6027340,1349643,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,6027359,1349645,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,6027367,1349655,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,6027414,1349684,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,6027562,1349710,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,6027701,1349746,True,6,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,6027773,1349757,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,6027776,1349760,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,6027802,1349810,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,6027928,1349902,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,6028109,1349953,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,6028664,1350001,True,0,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,6028782,1350015,True,1,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,6028788,1350018,True,1,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,08:00:00,REGULAR,6028813,1350053,True,1,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,12:00:00,REGULAR,6028938,1350132,True,1,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,16:00:00,REGULAR,6029139,1350146,True,1,
A002,R051,02-00-01,59 ST,NQR456W,BMT,2018-08-28,20:00:00,REGULAR,6029616,1350193,True,1,
