C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,16:00:00,REGULAR,0006027031,0001349587                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/25/2018,20:00:00,REGULAR,0006027230,0001349619                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,00:00:00,REGULAR,0006027340,0001349643                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,04:00:00,REGULAR,0006027359,0001349645                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,08:00:00,REGULAR,0006027367,0001349655                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,12:00:00,REGULAR,0006027414,0001349684                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,16:00:00,REGULAR,0006027562,0001349710                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/26/2018,20:00:00,REGULAR,0006027701,0001349746                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,00:00:00,REGULAR,0006027773,0001349757                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,04:00:00,REGULAR,0006027776,0001349760                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,08:00:00,REGULAR,0006027802,0001349810                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,12:00:00,REGULAR,0006027928,0001349902                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,16:00:00,REGULAR,0006028109,0001349953                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/27/2018,20:00:00,REGULAR,0006028664,0001350001                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,00:00:00,REGULAR,0006028782,0001350015                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,04:00:00,REGULAR,0006028788,0001350018                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,08:00:00,REGULAR,0006028813,0001350053                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,12:00:00,REGULAR,0006028938,0001350132                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,16:00:00,REGULAR,0006029139,0001350146                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/28/2018,20:00:00,REGULAR,0006029616,0001350193                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,00:00:00,REGULAR,0006029752,0001350208                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,04:00:00,REGULAR,0006029763,0001350209                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,08:00:00,REGULAR,0006029792,0001350247                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,12:00:00,REGULAR,0006029922,0001350346                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,16:00:00,REGULAR,0006030153,0001350380                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/29/2018,20:00:00,REGULAR,0006030668,0001350412                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,00:00:00,REGULAR,0006030805,0001350437                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,04:00:00,REGULAR,0006030817,0001350440                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,08:00:00,REGULAR,0006030844,0001350470                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,12:00:00,REGULAR,0006030966,0001350574                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,16:00:00,REGULAR,0006031173,0001350626                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/30/2018,20:00:00,REGULAR,0006031651,0001350665                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,08/31/2018,00:00:00,REGULAR,0006031784,0001350682                                            
